ndb_no	shrt_desc	energy_kcal	nutval
13320	BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,SIMMRD	0.167406	-1.09662
44005	OIL,CORN,PEANUT,AND OLIVE	0.980044	-1.09613
4133	SALAD DRSNG,FRENCH,HOME RECIPE	0.699557	-1.09475
4042	OIL,PNUT,SALAD OR COOKING	0.980044	-1.09357
4582	OIL,CANOLA	0.980044	-1.09342
4667	SHORTENING,INDUS,SOY (PART HYDR ) FOR BAKING & CONFECTIONS	0.980044	-1.09306
42289	OIL,CORN AND CANOLA	0.980044	-1.09119
4047	OIL,COCNT	0.955654	-1.08946
4044	OIL,SOYBN,SALAD OR COOKING	0.980044	-1.0887
4652	OIL,INDUSTRIAL,SOY ( PART HYDROGENATED),ALLPURP	0.980044	-1.08821
4670	USDA CMDTY FD,OIL,VEG,LO SATURATED FAT	0.980044	-1.08679
4606	MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)	0.985588	-1.08633
21311	MCDONALD'S,CREAMY RANCH SAU	0.518847	-1.08607
4609	ANIMAL FAT,BACON GREASE	0.994457	-1.08388
4544	SHORTENING,HOUSEHOLD,LARD&VEG OIL	0.997783	-1.08359
4560	SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%	0.980044	-1.08215
4650	OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING	0.980044	-1.07896
4664	OIL,INDUSTRIAL,SOY (PARTHYDR ),PALM, ICINGS & FILLINGS	0.980044	-1.07862
4669	USDA CMDTY FD,OIL,VEG,SOYBN,REFINED	0.980044	-1.07856
4517	OIL,GRAPESEED	0.980044	-1.07821
4615	SHORTENING,VEG,HOUSEHOLD,COMP	0.980044	-1.0781
4700	OIL,INDUSTRIAL,SOY,ULTRA LO LINOLENIC	0.980044	-1.07803
4629	MARGARINE, VEG OIL SPRD,70% FAT,SOYBN & PART HYDR SOYBN,STK	0.696231	-1.07611
4501	OIL,COCOA BUTTER	0.980044	-1.07249
4145	SALAD DRSNG,MAYO,SOYBN OIL,WO/SALT	0.7949	-1.07249
4002	LARD	1	-1.06845
4053	OIL,OLIVE,SALAD OR COOKING	0.980044	-1.06236
4513	VEGETABLE OIL,PALM KERNEL	0.955654	-1.06154
4654	OIL,INDUS,SOY (PART HYDROG) & CTTNSD,TORTILLA SHORTENING	0.980044	-1.061
4550	SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD	0.997783	-1.05767
35057	OIL,BEARDED SEAL (OOGRUK) (ALASKA NATIVE)	0.996674	-1.05441
4678	OIL,VEG,NATREON CANOLA,HI STABILITY,NON TRANS,HI OLEIC (70%)	0.980044	-1.05249
4668	MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY	0.791574	-1.04827
4644	OIL,INDUSTRIAL,CANOLA FOR SALADS,WOKS & LT FRYING	0.980044	-1.04784
4573	OIL,UCUHUBA BUTTER	0.980044	-1.04697
4630	MARGARINE SPRD,APPROX 48% FAT,TUB	0.470067	-1.04562
4699	OIL,INDUSTRIAL,SOY,LO LINOLENIC	0.997783	-1.04554
4510	OIL,SAFFLOWER,SALAD OR COOKING,LINOLEIC,(OVER 70%)	0.980044	-1.04483
4683	MARGARINE,MARGARINE-LIKE VEG OIL SPRD,67-70% FAT,TUB	0.67184	-1.04181
4574	FAT,DUCK	0.977827	-1.04019
10109	PORK,FRSH,VAR MEATS&BY-PRODUCTS,LEAF FAT,RAW	0.950111	-1.03937
4572	OIL,NUTMEG BUTTER	0.980044	-1.03811
1002	BUTTER,WHIPPED,WITH SALT	0.7949	-1.03785
4520	FAT,MUTTON TALLOW	1	-1.03551
4646	OIL,INDUSTRIAL,COCNT	0.980044	-1.03184
4659	OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS	0.980044	-1.02973
4001	FAT,BEEF TALLOW	1	-1.028
1003	BUTTER OIL,ANHYDROUS	0.971175	-1.02602
4645	OIL,INDUS,CANOLA (PART HYDROG) OIL FOR DEEP FAT FRYING	0.980044	-1.02503
4661	OIL,INDUSTRIAL,COCNT (HYDROGENATED),FOR TOPPINGS & WHITENERS	0.97561	-1.02321
4135	SALAD DRSNG,HOME RECIPE,VINEGAR&OIL	0.497783	-1.02302
4575	FAT,TURKEY	0.997783	-1.0192
4643	OIL,INDUSTRIAL,CANOLA W/ ANTIFOAMING AGENT	0.980044	-1.01903
4073	MARGARINE,REG,HARD,SOYBN (HYDR)	0.797118	-1.01891
4662	OIL,INDUSTRIAL,PALM & PALM KERNEL,FILLING FAT (NON-HYDROG)	0.97561	-1.01134
4542	FAT,CHICKEN	0.997783	-1.01125
4055	OIL,PALM	0.980044	-1.0109
1001	BUTTER,WITH SALT	0.7949	-1.01026
4698	OIL,INDUSTRIAL,CANOLA,HI OLEIC	0.997783	-0.997453
4551	SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)	0.980044	-0.996196
4556	SHORTENING FRYING (HVY DUTY),PALM (HYDR)	0.980044	-0.995135
4663	OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),FILLING FAT	0.980044	-0.988761
4656	OIL,INDUSTRIAL,PALM KERNEL,CONFECTION FAT	0.980044	-0.988492
4660	OIL,INDUSTRIAL,PALM KERNEL (HYDROG) FOR WHIPPED TOPPINGS	0.980044	-0.987507
